###############################################################################
#
# whisky1_fast, axis 1 of 1, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.19e+07  |1509697858|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.86671420|  PASSED
      diehard_operm5|   0|   1000000|     100|0.01076323|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.94511397|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED
   diehard_bitstream|   0|   2097152|     100|0.39854917|  PASSED
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED
diehard_count_1s_str|   0|    256000|     100|0.00000006|  FAILED
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED
 diehard_parking_lot|   0|     12000|     100|0.82658516|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.83690059|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.49157880|  PASSED
     diehard_squeeze|   0|    100000|     100|0.94000937|  PASSED
        diehard_sums|   0|       100|     100|0.23009014|  PASSED
        diehard_runs|   0|    100000|     100|0.71015752|  PASSED
        diehard_runs|   0|    100000|     100|0.27418179|  PASSED
       diehard_craps|   0|    200000|     100|0.89719465|  PASSED
       diehard_craps|   0|    200000|     100|0.47049846|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
         sts_monobit|   1|    100000|     100|0.02224453|  PASSED
            sts_runs|   2|    100000|     100|0.07530066|  PASSED
          sts_serial|   1|    100000|     100|0.33277425|  PASSED
          sts_serial|   2|    100000|     100|0.00002184|   WEAK
          sts_serial|   3|    100000|     100|0.00024413|   WEAK
          sts_serial|   3|    100000|     100|0.11648446|  PASSED
          sts_serial|   4|    100000|     100|0.01318105|  PASSED
          sts_serial|   4|    100000|     100|0.93150957|  PASSED
          sts_serial|   5|    100000|     100|0.00040493|   WEAK
          sts_serial|   5|    100000|     100|0.00581388|  PASSED
          sts_serial|   6|    100000|     100|0.18954815|  PASSED
          sts_serial|   6|    100000|     100|0.37366255|  PASSED
