###############################################################################
#
# whisky1alt, axis 1 of 1, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.81e+07  |2558008713|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.93952765|  PASSED
      diehard_operm5|   0|   1000000|     100|0.03325660|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.10299893|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.76740119|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.40705691|  PASSED
        diehard_opso|   0|   2097152|     100|0.28859981|  PASSED
        diehard_oqso|   0|   2097152|     100|0.00792838|  PASSED
         diehard_dna|   0|   2097152|     100|0.45883521|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.01778903|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.45227384|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.05740547|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.78879729|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.16785711|  PASSED
     diehard_squeeze|   0|    100000|     100|0.37865019|  PASSED
        diehard_sums|   0|       100|     100|0.06835751|  PASSED
        diehard_runs|   0|    100000|     100|0.62134079|  PASSED
        diehard_runs|   0|    100000|     100|0.83707675|  PASSED
       diehard_craps|   0|    200000|     100|0.53057347|  PASSED
       diehard_craps|   0|    200000|     100|0.67974847|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.15659332|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.36839378|  PASSED
         sts_monobit|   1|    100000|     100|0.54349751|  PASSED
            sts_runs|   2|    100000|     100|0.19928715|  PASSED
          sts_serial|   1|    100000|     100|0.65972422|  PASSED
          sts_serial|   2|    100000|     100|0.66582786|  PASSED
          sts_serial|   3|    100000|     100|0.42271204|  PASSED
          sts_serial|   3|    100000|     100|0.68855341|  PASSED
          sts_serial|   4|    100000|     100|0.60601878|  PASSED
          sts_serial|   4|    100000|     100|0.01923945|  PASSED
          sts_serial|   5|    100000|     100|0.30720345|  PASSED
          sts_serial|   5|    100000|     100|0.27413619|  PASSED
          sts_serial|   6|    100000|     100|0.07638091|  PASSED
          sts_serial|   6|    100000|     100|0.80199147|  PASSED
          sts_serial|   7|    100000|     100|0.26798486|  PASSED
          sts_serial|   7|    100000|     100|0.07546412|  PASSED
          sts_serial|   8|    100000|     100|0.20066889|  PASSED
          sts_serial|   8|    100000|     100|0.63275537|  PASSED
          sts_serial|   9|    100000|     100|0.46811399|  PASSED
          sts_serial|   9|    100000|     100|0.82060225|  PASSED
          sts_serial|  10|    100000|     100|0.87484740|  PASSED
          sts_serial|  10|    100000|     100|0.58125621|  PASSED
          sts_serial|  11|    100000|     100|0.94781624|  PASSED
          sts_serial|  11|    100000|     100|0.99096474|  PASSED
          sts_serial|  12|    100000|     100|0.70990319|  PASSED
          sts_serial|  12|    100000|     100|0.93087353|  PASSED
          sts_serial|  13|    100000|     100|0.35983270|  PASSED
          sts_serial|  13|    100000|     100|0.64382519|  PASSED
          sts_serial|  14|    100000|     100|0.33831479|  PASSED
          sts_serial|  14|    100000|     100|0.93924287|  PASSED
          sts_serial|  15|    100000|     100|0.96201233|  PASSED
          sts_serial|  15|    100000|     100|0.70635892|  PASSED
          sts_serial|  16|    100000|     100|0.58900768|  PASSED
          sts_serial|  16|    100000|     100|0.10406968|  PASSED
         rgb_bitdist|   1|    100000|     100|0.32190924|  PASSED
         rgb_bitdist|   2|    100000|     100|0.95747478|  PASSED
         rgb_bitdist|   3|    100000|     100|0.69556267|  PASSED
         rgb_bitdist|   4|    100000|     100|0.01131498|  PASSED
         rgb_bitdist|   5|    100000|     100|0.75658079|  PASSED
         rgb_bitdist|   6|    100000|     100|0.27040055|  PASSED
         rgb_bitdist|   7|    100000|     100|0.90972556|  PASSED
         rgb_bitdist|   8|    100000|     100|0.20244305|  PASSED
         rgb_bitdist|   9|    100000|     100|0.23466736|  PASSED
         rgb_bitdist|  10|    100000|     100|0.36228143|  PASSED
         rgb_bitdist|  11|    100000|     100|0.66383672|  PASSED
