###############################################################################
#
# whisky1alt_fast, axis 1 of 1, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.18e+07  |2224079787|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.76115875|  PASSED
      diehard_operm5|   0|   1000000|     100|0.00000000|  FAILED
  diehard_rank_32x32|   0|     40000|     100|0.67876926|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.00000000|  FAILED
   diehard_bitstream|   0|   2097152|     100|0.66720249|  PASSED
        diehard_opso|   0|   2097152|     100|0.00000000|  FAILED
        diehard_oqso|   0|   2097152|     100|0.00000000|  FAILED
         diehard_dna|   0|   2097152|     100|0.00000000|  FAILED
diehard_count_1s_str|   0|    256000|     100|0.00000197|   WEAK
diehard_count_1s_byt|   0|    256000|     100|0.00000000|  FAILED
 diehard_parking_lot|   0|     12000|     100|0.22419637|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.58191147|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.52690048|  PASSED
     diehard_squeeze|   0|    100000|     100|0.00243314|   WEAK
        diehard_sums|   0|       100|     100|0.10967882|  PASSED
        diehard_runs|   0|    100000|     100|0.35051395|  PASSED
        diehard_runs|   0|    100000|     100|0.56545724|  PASSED
       diehard_craps|   0|    200000|     100|0.12719078|  PASSED
       diehard_craps|   0|    200000|     100|0.70302196|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.00000000|  FAILED
         sts_monobit|   1|    100000|     100|0.45972756|  PASSED
            sts_runs|   2|    100000|     100|0.07862186|  PASSED
          sts_serial|   1|    100000|     100|0.36519318|  PASSED
          sts_serial|   2|    100000|     100|0.00232776|   WEAK
          sts_serial|   3|    100000|     100|0.00153233|   WEAK
          sts_serial|   3|    100000|     100|0.01776967|  PASSED
          sts_serial|   4|    100000|     100|0.21789005|  PASSED
          sts_serial|   4|    100000|     100|0.09954811|  PASSED
          sts_serial|   5|    100000|     100|0.28929030|  PASSED
          sts_serial|   5|    100000|     100|0.00236671|   WEAK
          sts_serial|   6|    100000|     100|0.00238027|   WEAK
          sts_serial|   6|    100000|     100|0.00709763|  PASSED
          sts_serial|   7|    100000|     100|0.00855920|  PASSED
          sts_serial|   7|    100000|     100|0.67186883|  PASSED
