###############################################################################
#
# whisky2alt, axis 1 of 2, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.20e+07  | 597203269|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.48436015|  PASSED
      diehard_operm5|   0|   1000000|     100|0.79594161|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.70370284|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.79891759|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.58161763|  PASSED
        diehard_opso|   0|   2097152|     100|0.63316244|  PASSED
        diehard_oqso|   0|   2097152|     100|0.69119061|  PASSED
         diehard_dna|   0|   2097152|     100|0.35716668|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.10921736|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.98643203|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.03084292|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.37713182|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.10161068|  PASSED
     diehard_squeeze|   0|    100000|     100|0.46194182|  PASSED
        diehard_sums|   0|       100|     100|0.06300147|  PASSED
        diehard_runs|   0|    100000|     100|0.18215521|  PASSED
        diehard_runs|   0|    100000|     100|0.81345341|  PASSED
       diehard_craps|   0|    200000|     100|0.18460199|  PASSED
       diehard_craps|   0|    200000|     100|0.90432413|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.40873803|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.26861771|  PASSED
         sts_monobit|   1|    100000|     100|0.22162502|  PASSED
            sts_runs|   2|    100000|     100|0.23101198|  PASSED
          sts_serial|   1|    100000|     100|0.74123218|  PASSED
          sts_serial|   2|    100000|     100|0.20067919|  PASSED
          sts_serial|   3|    100000|     100|0.06542042|  PASSED
          sts_serial|   3|    100000|     100|0.61505755|  PASSED
          sts_serial|   4|    100000|     100|0.19798042|  PASSED
          sts_serial|   4|    100000|     100|0.27090398|  PASSED
          sts_serial|   5|    100000|     100|0.58701704|  PASSED
          sts_serial|   5|    100000|     100|0.34209507|  PASSED
          sts_serial|   6|    100000|     100|0.22865743|  PASSED
          sts_serial|   6|    100000|     100|0.43305883|  PASSED
          sts_serial|   7|    100000|     100|0.42526681|  PASSED
          sts_serial|   7|    100000|     100|0.46349372|  PASSED
          sts_serial|   8|    100000|     100|0.69221827|  PASSED
          sts_serial|   8|    100000|     100|0.26347207|  PASSED
          sts_serial|   9|    100000|     100|0.03793876|  PASSED
          sts_serial|   9|    100000|     100|0.34773894|  PASSED
          sts_serial|  10|    100000|     100|0.91402934|  PASSED
          sts_serial|  10|    100000|     100|0.49875749|  PASSED
          sts_serial|  11|    100000|     100|0.45380520|  PASSED
          sts_serial|  11|    100000|     100|0.80245269|  PASSED
          sts_serial|  12|    100000|     100|0.42479692|  PASSED
          sts_serial|  12|    100000|     100|0.27269902|  PASSED
          sts_serial|  13|    100000|     100|0.95825169|  PASSED
          sts_serial|  13|    100000|     100|0.99463930|  PASSED
          sts_serial|  14|    100000|     100|0.41086011|  PASSED
          sts_serial|  14|    100000|     100|0.65241303|  PASSED
          sts_serial|  15|    100000|     100|0.96091446|  PASSED
          sts_serial|  15|    100000|     100|0.14307732|  PASSED
          sts_serial|  16|    100000|     100|0.94428174|  PASSED
          sts_serial|  16|    100000|     100|0.97066447|  PASSED
         rgb_bitdist|   1|    100000|     100|0.83158956|  PASSED
         rgb_bitdist|   2|    100000|     100|0.78741635|  PASSED
         rgb_bitdist|   3|    100000|     100|0.64317109|  PASSED
         rgb_bitdist|   4|    100000|     100|0.33532433|  PASSED
         rgb_bitdist|   5|    100000|     100|0.06519113|  PASSED
         rgb_bitdist|   6|    100000|     100|0.89994520|  PASSED
         rgb_bitdist|   7|    100000|     100|0.67519357|  PASSED
         rgb_bitdist|   8|    100000|     100|0.97438951|  PASSED
         rgb_bitdist|   9|    100000|     100|0.37012020|  PASSED
         rgb_bitdist|  10|    100000|     100|0.04717287|  PASSED
         rgb_bitdist|  11|    100000|     100|0.02985087|  PASSED
         rgb_bitdist|  12|    100000|     100|0.75686824|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.72175682|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.36487489|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.35016984|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.36800698|  PASSED
    rgb_permutations|   2|    100000|     100|0.17884145|  PASSED
    rgb_permutations|   3|    100000|     100|0.77275262|  PASSED
    rgb_permutations|   4|    100000|     100|0.35524353|  PASSED
    rgb_permutations|   5|    100000|     100|0.43027801|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.78171914|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.41744684|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.71024550|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.21662410|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.05596662|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.67593196|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.62711146|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.49079450|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.58610126|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.19990914|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.12203797|  PASSED
