###############################################################################
#
# whisky2alt2, axis 1 of 2, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.64e+07  | 624563205|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.97674478|  PASSED
      diehard_operm5|   0|   1000000|     100|0.80402104|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.24741825|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.97202326|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.88974606|  PASSED
        diehard_opso|   0|   2097152|     100|0.12680157|  PASSED
        diehard_oqso|   0|   2097152|     100|0.79425275|  PASSED
         diehard_dna|   0|   2097152|     100|0.41582059|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.55312580|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.63858160|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.11892087|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.55059735|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.28671971|  PASSED
     diehard_squeeze|   0|    100000|     100|0.91979238|  PASSED
        diehard_sums|   0|       100|     100|0.13003978|  PASSED
        diehard_runs|   0|    100000|     100|0.87470833|  PASSED
        diehard_runs|   0|    100000|     100|0.82082294|  PASSED
       diehard_craps|   0|    200000|     100|0.66589613|  PASSED
       diehard_craps|   0|    200000|     100|0.64710075|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.17887038|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.01508933|  PASSED
         sts_monobit|   1|    100000|     100|0.70332724|  PASSED
            sts_runs|   2|    100000|     100|0.89993986|  PASSED
          sts_serial|   1|    100000|     100|0.24459250|  PASSED
          sts_serial|   2|    100000|     100|0.98180866|  PASSED
          sts_serial|   3|    100000|     100|0.50999534|  PASSED
          sts_serial|   3|    100000|     100|0.88544971|  PASSED
          sts_serial|   4|    100000|     100|0.32971947|  PASSED
          sts_serial|   4|    100000|     100|0.36852524|  PASSED
          sts_serial|   5|    100000|     100|0.64600945|  PASSED
          sts_serial|   5|    100000|     100|0.98673908|  PASSED
          sts_serial|   6|    100000|     100|0.67245470|  PASSED
          sts_serial|   6|    100000|     100|0.06924704|  PASSED
          sts_serial|   7|    100000|     100|0.80162911|  PASSED
          sts_serial|   7|    100000|     100|0.27945083|  PASSED
          sts_serial|   8|    100000|     100|0.92818447|  PASSED
          sts_serial|   8|    100000|     100|0.75661365|  PASSED
          sts_serial|   9|    100000|     100|0.28531412|  PASSED
          sts_serial|   9|    100000|     100|0.21822517|  PASSED
          sts_serial|  10|    100000|     100|0.88012665|  PASSED
          sts_serial|  10|    100000|     100|0.19719043|  PASSED
          sts_serial|  11|    100000|     100|0.65904945|  PASSED
          sts_serial|  11|    100000|     100|0.88383370|  PASSED
