###############################################################################
#
# whisky3, axis 1 of 3, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  2.20e+07  |2296672033|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.66081938|  PASSED
      diehard_operm5|   0|   1000000|     100|0.90714816|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.24741867|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.99682766|   WEAK
   diehard_bitstream|   0|   2097152|     100|0.04459274|  PASSED
        diehard_opso|   0|   2097152|     100|0.99772249|   WEAK
        diehard_oqso|   0|   2097152|     100|0.29300468|  PASSED
         diehard_dna|   0|   2097152|     100|0.13151805|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.67373895|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.85112482|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.20513585|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.27045886|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.05333749|  PASSED
     diehard_squeeze|   0|    100000|     100|0.14124587|  PASSED
        diehard_sums|   0|       100|     100|0.85040572|  PASSED
        diehard_runs|   0|    100000|     100|0.94212780|  PASSED
        diehard_runs|   0|    100000|     100|0.17268728|  PASSED
       diehard_craps|   0|    200000|     100|0.74004865|  PASSED
       diehard_craps|   0|    200000|     100|0.54024751|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62159212|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.34351456|  PASSED
         sts_monobit|   1|    100000|     100|0.84060185|  PASSED
            sts_runs|   2|    100000|     100|0.76153172|  PASSED
          sts_serial|   1|    100000|     100|0.99416807|  PASSED
          sts_serial|   2|    100000|     100|0.72758853|  PASSED
          sts_serial|   3|    100000|     100|0.16513839|  PASSED
          sts_serial|   3|    100000|     100|0.68386924|  PASSED
          sts_serial|   4|    100000|     100|0.60147400|  PASSED
          sts_serial|   4|    100000|     100|0.13697766|  PASSED
          sts_serial|   5|    100000|     100|0.95090858|  PASSED
          sts_serial|   5|    100000|     100|0.77171832|  PASSED
          sts_serial|   6|    100000|     100|0.43800822|  PASSED
          sts_serial|   6|    100000|     100|0.41678769|  PASSED
          sts_serial|   7|    100000|     100|0.74094051|  PASSED
          sts_serial|   7|    100000|     100|0.78551316|  PASSED
          sts_serial|   8|    100000|     100|0.19858584|  PASSED
          sts_serial|   8|    100000|     100|0.18198670|  PASSED
          sts_serial|   9|    100000|     100|0.87384721|  PASSED
          sts_serial|   9|    100000|     100|0.39565116|  PASSED
          sts_serial|  10|    100000|     100|0.74608193|  PASSED
          sts_serial|  10|    100000|     100|0.38322989|  PASSED
          sts_serial|  11|    100000|     100|0.40055922|  PASSED
          sts_serial|  11|    100000|     100|0.94393260|  PASSED
          sts_serial|  12|    100000|     100|0.96783427|  PASSED
          sts_serial|  12|    100000|     100|0.59344000|  PASSED
          sts_serial|  13|    100000|     100|0.84006388|  PASSED
          sts_serial|  13|    100000|     100|0.59217505|  PASSED
          sts_serial|  14|    100000|     100|0.54953850|  PASSED
          sts_serial|  14|    100000|     100|0.29856510|  PASSED
          sts_serial|  15|    100000|     100|0.93157467|  PASSED
          sts_serial|  15|    100000|     100|0.33368691|  PASSED
          sts_serial|  16|    100000|     100|0.61692682|  PASSED
          sts_serial|  16|    100000|     100|0.45662525|  PASSED
         rgb_bitdist|   1|    100000|     100|0.57193499|  PASSED
         rgb_bitdist|   2|    100000|     100|0.96853115|  PASSED
         rgb_bitdist|   3|    100000|     100|0.52360755|  PASSED
         rgb_bitdist|   4|    100000|     100|0.94204492|  PASSED
         rgb_bitdist|   5|    100000|     100|0.69638036|  PASSED
         rgb_bitdist|   6|    100000|     100|0.93503687|  PASSED
         rgb_bitdist|   7|    100000|     100|0.99449252|  PASSED
         rgb_bitdist|   8|    100000|     100|0.86258838|  PASSED
         rgb_bitdist|   9|    100000|     100|0.80712931|  PASSED
         rgb_bitdist|  10|    100000|     100|0.11795350|  PASSED
         rgb_bitdist|  11|    100000|     100|0.66952514|  PASSED
         rgb_bitdist|  12|    100000|     100|0.60381204|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.26139740|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.64524643|  PASSED
