###############################################################################
#
# whisky3alt2, axis 1 of 3, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.26e+07  |1681746947|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.45711075|  PASSED
      diehard_operm5|   0|   1000000|     100|0.11904364|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.88383461|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.39309825|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.99938216|   WEAK
        diehard_opso|   0|   2097152|     100|0.21423558|  PASSED
        diehard_oqso|   0|   2097152|     100|0.93765444|  PASSED
         diehard_dna|   0|   2097152|     100|0.17269573|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.99220225|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.31681831|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.59516268|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.08777523|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.11381666|  PASSED
     diehard_squeeze|   0|    100000|     100|0.82713567|  PASSED
        diehard_sums|   0|       100|     100|0.55522325|  PASSED
        diehard_runs|   0|    100000|     100|0.65033555|  PASSED
        diehard_runs|   0|    100000|     100|0.32966099|  PASSED
       diehard_craps|   0|    200000|     100|0.97756769|  PASSED
       diehard_craps|   0|    200000|     100|0.26263401|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.77118032|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.41780692|  PASSED
         sts_monobit|   1|    100000|     100|0.61505591|  PASSED
            sts_runs|   2|    100000|     100|0.55118715|  PASSED
          sts_serial|   1|    100000|     100|0.62784561|  PASSED
          sts_serial|   2|    100000|     100|0.34258177|  PASSED
          sts_serial|   3|    100000|     100|0.73150892|  PASSED
          sts_serial|   3|    100000|     100|0.68025863|  PASSED
          sts_serial|   4|    100000|     100|0.03161661|  PASSED
          sts_serial|   4|    100000|     100|0.17423599|  PASSED
          sts_serial|   5|    100000|     100|0.02354882|  PASSED
          sts_serial|   5|    100000|     100|0.41131322|  PASSED
          sts_serial|   6|    100000|     100|0.12871087|  PASSED
          sts_serial|   6|    100000|     100|0.50682876|  PASSED
          sts_serial|   7|    100000|     100|0.04623189|  PASSED
          sts_serial|   7|    100000|     100|0.22314964|  PASSED
          sts_serial|   8|    100000|     100|0.26698997|  PASSED
          sts_serial|   8|    100000|     100|0.82163844|  PASSED
          sts_serial|   9|    100000|     100|0.72494339|  PASSED
          sts_serial|   9|    100000|     100|0.58094236|  PASSED
          sts_serial|  10|    100000|     100|0.97068603|  PASSED
          sts_serial|  10|    100000|     100|0.27946020|  PASSED
          sts_serial|  11|    100000|     100|0.22562303|  PASSED
          sts_serial|  11|    100000|     100|0.20857283|  PASSED
          sts_serial|  12|    100000|     100|0.05929588|  PASSED
          sts_serial|  12|    100000|     100|0.63382930|  PASSED
          sts_serial|  13|    100000|     100|0.79005689|  PASSED
          sts_serial|  13|    100000|     100|0.85589011|  PASSED
          sts_serial|  14|    100000|     100|0.05251438|  PASSED
          sts_serial|  14|    100000|     100|0.05559827|  PASSED
          sts_serial|  15|    100000|     100|0.20725404|  PASSED
          sts_serial|  15|    100000|     100|0.66895425|  PASSED
          sts_serial|  16|    100000|     100|0.34900663|  PASSED
          sts_serial|  16|    100000|     100|0.99062866|  PASSED
         rgb_bitdist|   1|    100000|     100|0.67343025|  PASSED
         rgb_bitdist|   2|    100000|     100|0.81114790|  PASSED
         rgb_bitdist|   3|    100000|     100|0.86579839|  PASSED
         rgb_bitdist|   4|    100000|     100|0.85535819|  PASSED
         rgb_bitdist|   5|    100000|     100|0.68065330|  PASSED
         rgb_bitdist|   6|    100000|     100|0.99501760|   WEAK
         rgb_bitdist|   7|    100000|     100|0.56849055|  PASSED
         rgb_bitdist|   8|    100000|     100|0.59517135|  PASSED
         rgb_bitdist|   9|    100000|     100|0.81496168|  PASSED
         rgb_bitdist|  10|    100000|     100|0.30778635|  PASSED
         rgb_bitdist|  11|    100000|     100|0.88212673|  PASSED
         rgb_bitdist|  12|    100000|     100|0.67890399|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.83389195|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.49344737|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.06979448|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.30302136|  PASSED
    rgb_permutations|   2|    100000|     100|0.87698365|  PASSED
    rgb_permutations|   3|    100000|     100|0.92565232|  PASSED
    rgb_permutations|   4|    100000|     100|0.36557134|  PASSED
    rgb_permutations|   5|    100000|     100|0.28032636|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.30381131|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.86195502|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.75366788|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.59133418|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.53718010|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.66660773|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.73857810|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.57457782|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.08378917|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.93298258|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.09098158|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.09055263|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.80096862|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.58845459|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.92878249|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.40109742|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.80446130|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.03856852|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.72083713|  PASSED
      rgb_lagged_sum|  19|   1000000|     100|0.68552381|  PASSED
      rgb_lagged_sum|  20|   1000000|     100|0.36856199|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.45141316|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.68321182|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.56865077|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.31775601|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.19612465|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.20891562|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.20151113|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.40859930|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.99089881|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.64348805|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.62723653|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.05989802|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.55935629|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.87637954|  PASSED
             dab_dct| 256|     50000|       1|0.36709612|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.41429523|  PASSED
        dab_filltree|  32|  15000000|       1|0.98648926|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.26088417|  PASSED
       dab_filltree2|   1|   5000000|       1|0.99952077|   WEAK
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.99476844|  PASSED

###############################################################################
#
# whisky3alt2, axis 1 of 3, - direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.60e+07  | 391495315|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.90222360|  PASSED
      diehard_operm5|   0|   1000000|     100|0.72366544|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.20595410|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.61862950|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.16349692|  PASSED
        diehard_opso|   0|   2097152|     100|0.43179769|  PASSED
        diehard_oqso|   0|   2097152|     100|0.57886287|  PASSED
         diehard_dna|   0|   2097152|     100|0.29994511|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.67776433|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.77479673|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.97946883|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.27251624|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.67805189|  PASSED
     diehard_squeeze|   0|    100000|     100|0.05122285|  PASSED
        diehard_sums|   0|       100|     100|0.03592772|  PASSED
        diehard_runs|   0|    100000|     100|0.67425822|  PASSED
        diehard_runs|   0|    100000|     100|0.73828879|  PASSED
       diehard_craps|   0|    200000|     100|0.37141760|  PASSED
       diehard_craps|   0|    200000|     100|0.97662699|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.99373964|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.63520788|  PASSED
         sts_monobit|   1|    100000|     100|0.93662314|  PASSED
            sts_runs|   2|    100000|     100|0.15843833|  PASSED
          sts_serial|   1|    100000|     100|0.09206134|  PASSED
          sts_serial|   2|    100000|     100|0.87739890|  PASSED
          sts_serial|   3|    100000|     100|0.93193611|  PASSED
          sts_serial|   3|    100000|     100|0.67915914|  PASSED
          sts_serial|   4|    100000|     100|0.95290288|  PASSED
          sts_serial|   4|    100000|     100|0.15390373|  PASSED
          sts_serial|   5|    100000|     100|0.97849179|  PASSED
          sts_serial|   5|    100000|     100|0.72540380|  PASSED
          sts_serial|   6|    100000|     100|0.73966487|  PASSED
          sts_serial|   6|    100000|     100|0.83308147|  PASSED
          sts_serial|   7|    100000|     100|0.51240764|  PASSED
          sts_serial|   7|    100000|     100|0.73076100|  PASSED
          sts_serial|   8|    100000|     100|0.58273822|  PASSED
          sts_serial|   8|    100000|     100|0.29339392|  PASSED
          sts_serial|   9|    100000|     100|0.60607513|  PASSED
          sts_serial|   9|    100000|     100|0.72470705|  PASSED
          sts_serial|  10|    100000|     100|0.24909360|  PASSED
          sts_serial|  10|    100000|     100|0.22779881|  PASSED
          sts_serial|  11|    100000|     100|0.01478138|  PASSED
          sts_serial|  11|    100000|     100|0.04105052|  PASSED
          sts_serial|  12|    100000|     100|0.35764885|  PASSED
          sts_serial|  12|    100000|     100|0.06382176|  PASSED
          sts_serial|  13|    100000|     100|0.22011565|  PASSED
          sts_serial|  13|    100000|     100|0.27753179|  PASSED
          sts_serial|  14|    100000|     100|0.86615250|  PASSED
          sts_serial|  14|    100000|     100|0.22283883|  PASSED
          sts_serial|  15|    100000|     100|0.98403312|  PASSED
          sts_serial|  15|    100000|     100|0.59923921|  PASSED
          sts_serial|  16|    100000|     100|0.92910525|  PASSED
          sts_serial|  16|    100000|     100|0.96303876|  PASSED
         rgb_bitdist|   1|    100000|     100|0.89252736|  PASSED
         rgb_bitdist|   2|    100000|     100|0.81616476|  PASSED
         rgb_bitdist|   3|    100000|     100|0.98745780|  PASSED
         rgb_bitdist|   4|    100000|     100|0.71851425|  PASSED
         rgb_bitdist|   5|    100000|     100|0.23337153|  PASSED
         rgb_bitdist|   6|    100000|     100|0.54943888|  PASSED
         rgb_bitdist|   7|    100000|     100|0.16844765|  PASSED
         rgb_bitdist|   8|    100000|     100|0.92723032|  PASSED
         rgb_bitdist|   9|    100000|     100|0.53847761|  PASSED
         rgb_bitdist|  10|    100000|     100|0.76414638|  PASSED
         rgb_bitdist|  11|    100000|     100|0.51051719|  PASSED
         rgb_bitdist|  12|    100000|     100|0.20190468|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.29979663|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.97529945|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.05902368|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.22825540|  PASSED
    rgb_permutations|   2|    100000|     100|0.46102437|  PASSED
    rgb_permutations|   3|    100000|     100|0.63229378|  PASSED
    rgb_permutations|   4|    100000|     100|0.34459646|  PASSED
    rgb_permutations|   5|    100000|     100|0.30161968|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.21176992|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.83509757|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.53050653|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.61190083|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.50757270|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.45966331|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.02206850|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.41804904|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.45263530|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.80798331|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.43106366|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.87755363|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.22487892|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.59415143|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.54511496|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.79111339|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.68586272|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.04674434|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.87065202|  PASSED
      rgb_lagged_sum|  19|   1000000|     100|0.99964658|   WEAK
      rgb_lagged_sum|  20|   1000000|     100|0.64814248|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.59332999|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.38128439|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.98509999|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.03269629|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.38839008|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.99283621|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.38562524|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.17535139|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.66074262|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.62732774|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.71077245|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.68232477|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.40032345|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.59765699|  PASSED
             dab_dct| 256|     50000|       1|0.15662789|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.12035366|  PASSED
        dab_filltree|  32|  15000000|       1|0.20096441|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.95003027|  PASSED
       dab_filltree2|   1|   5000000|       1|0.09892168|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.16874567|  PASSED

###############################################################################
#
# whisky3alt2, axis 2 of 3, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.76e+07  |2810036428|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.01044059|  PASSED
      diehard_operm5|   0|   1000000|     100|0.85285227|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.98304143|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.31310110|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.07538557|  PASSED
        diehard_opso|   0|   2097152|     100|0.98455561|  PASSED
        diehard_oqso|   0|   2097152|     100|0.48237986|  PASSED
         diehard_dna|   0|   2097152|     100|0.76210072|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.98867260|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.33766550|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.23914974|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.40064312|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.24352993|  PASSED
     diehard_squeeze|   0|    100000|     100|0.10310946|  PASSED
        diehard_sums|   0|       100|     100|0.72178955|  PASSED
        diehard_runs|   0|    100000|     100|0.42628652|  PASSED
        diehard_runs|   0|    100000|     100|0.53886771|  PASSED
       diehard_craps|   0|    200000|     100|0.02396093|  PASSED
       diehard_craps|   0|    200000|     100|0.47925539|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.68149903|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.87718009|  PASSED
         sts_monobit|   1|    100000|     100|0.82039758|  PASSED
            sts_runs|   2|    100000|     100|0.49670795|  PASSED
          sts_serial|   1|    100000|     100|0.82447006|  PASSED
          sts_serial|   2|    100000|     100|0.81563085|  PASSED
          sts_serial|   3|    100000|     100|0.77886298|  PASSED
          sts_serial|   3|    100000|     100|0.99044789|  PASSED
          sts_serial|   4|    100000|     100|0.91018236|  PASSED
          sts_serial|   4|    100000|     100|0.95295490|  PASSED
          sts_serial|   5|    100000|     100|0.94366015|  PASSED
          sts_serial|   5|    100000|     100|0.64117111|  PASSED
          sts_serial|   6|    100000|     100|0.74945931|  PASSED
          sts_serial|   6|    100000|     100|0.81447010|  PASSED
          sts_serial|   7|    100000|     100|0.42169543|  PASSED
          sts_serial|   7|    100000|     100|0.41292684|  PASSED
          sts_serial|   8|    100000|     100|0.85718528|  PASSED
          sts_serial|   8|    100000|     100|0.08126743|  PASSED
          sts_serial|   9|    100000|     100|0.89519471|  PASSED
          sts_serial|   9|    100000|     100|0.59806708|  PASSED
          sts_serial|  10|    100000|     100|0.80999503|  PASSED
          sts_serial|  10|    100000|     100|0.58967187|  PASSED
          sts_serial|  11|    100000|     100|0.33934525|  PASSED
          sts_serial|  11|    100000|     100|0.13523696|  PASSED
          sts_serial|  12|    100000|     100|0.32945592|  PASSED
          sts_serial|  12|    100000|     100|0.98905823|  PASSED
          sts_serial|  13|    100000|     100|0.83999397|  PASSED
          sts_serial|  13|    100000|     100|0.60141310|  PASSED
          sts_serial|  14|    100000|     100|0.65803241|  PASSED
          sts_serial|  14|    100000|     100|0.54475025|  PASSED
          sts_serial|  15|    100000|     100|0.99102402|  PASSED
          sts_serial|  15|    100000|     100|0.93386132|  PASSED
          sts_serial|  16|    100000|     100|0.69918776|  PASSED
          sts_serial|  16|    100000|     100|0.72124782|  PASSED
         rgb_bitdist|   1|    100000|     100|0.64905942|  PASSED
         rgb_bitdist|   2|    100000|     100|0.69210442|  PASSED
         rgb_bitdist|   3|    100000|     100|0.04137665|  PASSED
         rgb_bitdist|   4|    100000|     100|0.92180138|  PASSED
         rgb_bitdist|   5|    100000|     100|0.94574728|  PASSED
         rgb_bitdist|   6|    100000|     100|0.74903078|  PASSED
         rgb_bitdist|   7|    100000|     100|0.00478573|   WEAK
         rgb_bitdist|   8|    100000|     100|0.07482142|  PASSED
         rgb_bitdist|   9|    100000|     100|0.73637280|  PASSED
         rgb_bitdist|  10|    100000|     100|0.40025080|  PASSED
         rgb_bitdist|  11|    100000|     100|0.31742071|  PASSED
         rgb_bitdist|  12|    100000|     100|0.23042514|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.82154125|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.26893031|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.65560144|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.67375860|  PASSED
    rgb_permutations|   2|    100000|     100|0.14207827|  PASSED
    rgb_permutations|   3|    100000|     100|0.59219823|  PASSED
    rgb_permutations|   4|    100000|     100|0.82448748|  PASSED
    rgb_permutations|   5|    100000|     100|0.63904915|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.52673295|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.27088593|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.94862804|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.73474529|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.28810591|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.52996394|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.97574529|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.27389963|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.58374751|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.11144275|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.50855484|  PASSED
