###############################################################################
#
# whisky_sha256, axis 1 of 8, + direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.71e+07  |3146126068|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.00941305|  PASSED
      diehard_operm5|   0|   1000000|     100|0.98624783|  PASSED
  diehard_rank_32x32|   0|     40000|     100|0.28004885|  PASSED
    diehard_rank_6x8|   0|    100000|     100|0.72598925|  PASSED
   diehard_bitstream|   0|   2097152|     100|0.48111661|  PASSED
        diehard_opso|   0|   2097152|     100|0.58424816|  PASSED
        diehard_oqso|   0|   2097152|     100|0.00706166|  PASSED
         diehard_dna|   0|   2097152|     100|0.81255727|  PASSED
diehard_count_1s_str|   0|    256000|     100|0.10121510|  PASSED
diehard_count_1s_byt|   0|    256000|     100|0.97204308|  PASSED
 diehard_parking_lot|   0|     12000|     100|0.98448969|  PASSED
    diehard_2dsphere|   2|      8000|     100|0.61297207|  PASSED
    diehard_3dsphere|   3|      4000|     100|0.97125002|  PASSED
     diehard_squeeze|   0|    100000|     100|0.77501091|  PASSED
        diehard_sums|   0|       100|     100|0.33872465|  PASSED
        diehard_runs|   0|    100000|     100|0.73379286|  PASSED
        diehard_runs|   0|    100000|     100|0.14875808|  PASSED
       diehard_craps|   0|    200000|     100|0.40380870|  PASSED
       diehard_craps|   0|    200000|     100|0.33908915|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.93129348|  PASSED
 marsaglia_tsang_gcd|   0|  10000000|     100|0.20511479|  PASSED
         sts_monobit|   1|    100000|     100|0.92113301|  PASSED
            sts_runs|   2|    100000|     100|0.48007605|  PASSED
          sts_serial|   1|    100000|     100|0.88028731|  PASSED
          sts_serial|   2|    100000|     100|0.22285714|  PASSED
          sts_serial|   3|    100000|     100|0.02383438|  PASSED
          sts_serial|   3|    100000|     100|0.10681125|  PASSED
          sts_serial|   4|    100000|     100|0.01887125|  PASSED
          sts_serial|   4|    100000|     100|0.86588837|  PASSED
          sts_serial|   5|    100000|     100|0.17915852|  PASSED
          sts_serial|   5|    100000|     100|0.35937918|  PASSED
          sts_serial|   6|    100000|     100|0.01628821|  PASSED
          sts_serial|   6|    100000|     100|0.34689350|  PASSED
          sts_serial|   7|    100000|     100|0.00616843|  PASSED
          sts_serial|   7|    100000|     100|0.54949057|  PASSED
          sts_serial|   8|    100000|     100|0.02692090|  PASSED
          sts_serial|   8|    100000|     100|0.08515623|  PASSED
          sts_serial|   9|    100000|     100|0.23710123|  PASSED
          sts_serial|   9|    100000|     100|0.73827993|  PASSED
          sts_serial|  10|    100000|     100|0.61584932|  PASSED
          sts_serial|  10|    100000|     100|0.90435048|  PASSED
          sts_serial|  11|    100000|     100|0.39548477|  PASSED
          sts_serial|  11|    100000|     100|0.79383826|  PASSED
          sts_serial|  12|    100000|     100|0.68839875|  PASSED
          sts_serial|  12|    100000|     100|0.46558036|  PASSED
          sts_serial|  13|    100000|     100|0.47977620|  PASSED
          sts_serial|  13|    100000|     100|0.68497907|  PASSED
          sts_serial|  14|    100000|     100|0.21806190|  PASSED
          sts_serial|  14|    100000|     100|0.84232699|  PASSED
          sts_serial|  15|    100000|     100|0.22115694|  PASSED
          sts_serial|  15|    100000|     100|0.32760524|  PASSED
          sts_serial|  16|    100000|     100|0.65597376|  PASSED
          sts_serial|  16|    100000|     100|0.98913550|  PASSED
         rgb_bitdist|   1|    100000|     100|0.89778655|  PASSED
         rgb_bitdist|   2|    100000|     100|0.99988975|   WEAK
         rgb_bitdist|   3|    100000|     100|0.98459850|  PASSED
         rgb_bitdist|   4|    100000|     100|0.62540924|  PASSED
         rgb_bitdist|   5|    100000|     100|0.82661191|  PASSED
         rgb_bitdist|   6|    100000|     100|0.55083736|  PASSED
         rgb_bitdist|   7|    100000|     100|0.15080749|  PASSED
         rgb_bitdist|   8|    100000|     100|0.91325811|  PASSED
         rgb_bitdist|   9|    100000|     100|0.42781716|  PASSED
         rgb_bitdist|  10|    100000|     100|0.07162478|  PASSED
         rgb_bitdist|  11|    100000|     100|0.63820089|  PASSED
         rgb_bitdist|  12|    100000|     100|0.80073350|  PASSED
rgb_minimum_distance|   2|     10000|    1000|0.77993364|  PASSED
rgb_minimum_distance|   3|     10000|    1000|0.53285383|  PASSED
rgb_minimum_distance|   4|     10000|    1000|0.22586605|  PASSED
rgb_minimum_distance|   5|     10000|    1000|0.12386594|  PASSED
    rgb_permutations|   2|    100000|     100|0.37174305|  PASSED
    rgb_permutations|   3|    100000|     100|0.15171280|  PASSED
    rgb_permutations|   4|    100000|     100|0.92228262|  PASSED
    rgb_permutations|   5|    100000|     100|0.94461531|  PASSED
      rgb_lagged_sum|   0|   1000000|     100|0.59697345|  PASSED
      rgb_lagged_sum|   1|   1000000|     100|0.53634824|  PASSED
      rgb_lagged_sum|   2|   1000000|     100|0.13112556|  PASSED
      rgb_lagged_sum|   3|   1000000|     100|0.22935148|  PASSED
      rgb_lagged_sum|   4|   1000000|     100|0.42706050|  PASSED
      rgb_lagged_sum|   5|   1000000|     100|0.80570752|  PASSED
      rgb_lagged_sum|   6|   1000000|     100|0.12719236|  PASSED
      rgb_lagged_sum|   7|   1000000|     100|0.16571167|  PASSED
      rgb_lagged_sum|   8|   1000000|     100|0.16124660|  PASSED
      rgb_lagged_sum|   9|   1000000|     100|0.97580907|  PASSED
      rgb_lagged_sum|  10|   1000000|     100|0.02603066|  PASSED
      rgb_lagged_sum|  11|   1000000|     100|0.16410737|  PASSED
      rgb_lagged_sum|  12|   1000000|     100|0.62106445|  PASSED
      rgb_lagged_sum|  13|   1000000|     100|0.21579328|  PASSED
      rgb_lagged_sum|  14|   1000000|     100|0.14732486|  PASSED
      rgb_lagged_sum|  15|   1000000|     100|0.99212869|  PASSED
      rgb_lagged_sum|  16|   1000000|     100|0.26400435|  PASSED
      rgb_lagged_sum|  17|   1000000|     100|0.70971057|  PASSED
      rgb_lagged_sum|  18|   1000000|     100|0.00313513|   WEAK
      rgb_lagged_sum|  19|   1000000|     100|0.31861423|  PASSED
      rgb_lagged_sum|  20|   1000000|     100|0.59178191|  PASSED
      rgb_lagged_sum|  21|   1000000|     100|0.21728287|  PASSED
      rgb_lagged_sum|  22|   1000000|     100|0.16983954|  PASSED
      rgb_lagged_sum|  23|   1000000|     100|0.78641225|  PASSED
      rgb_lagged_sum|  24|   1000000|     100|0.96410277|  PASSED
      rgb_lagged_sum|  25|   1000000|     100|0.18615721|  PASSED
      rgb_lagged_sum|  26|   1000000|     100|0.26066130|  PASSED
      rgb_lagged_sum|  27|   1000000|     100|0.16967681|  PASSED
      rgb_lagged_sum|  28|   1000000|     100|0.39940435|  PASSED
      rgb_lagged_sum|  29|   1000000|     100|0.37935345|  PASSED
      rgb_lagged_sum|  30|   1000000|     100|0.55196613|  PASSED
      rgb_lagged_sum|  31|   1000000|     100|0.31374925|  PASSED
      rgb_lagged_sum|  32|   1000000|     100|0.04776181|  PASSED
     rgb_kstest_test|   0|     10000|    1000|0.93765621|  PASSED
     dab_bytedistrib|   0|  51200000|       1|0.77814208|  PASSED
             dab_dct| 256|     50000|       1|0.04873418|  PASSED
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.95267905|  PASSED
        dab_filltree|  32|  15000000|       1|0.63206544|  PASSED
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.86799825|  PASSED
       dab_filltree2|   1|   5000000|       1|0.06017409|  PASSED
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.67310996|  PASSED

###############################################################################
#
# whisky_sha256, axis 1 of 8, - direction
#
###############################################################################

#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.74e+07  |2598696904|
#=============================================================================#
